Title,Description,Phase,Layer,Priority
Auth API implementation 1,Auth API implementation task 1,Phase 1,Backend,High
Auth API implementation 2,Auth API implementation task 2,Phase 1,Backend,High
Auth API implementation 3,Auth API implementation task 3,Phase 1,Backend,High
Auth API implementation 4,Auth API implementation task 4,Phase 1,Backend,High
Auth API implementation 5,Auth API implementation task 5,Phase 1,Backend,High
Auth API implementation 6,Auth API implementation task 6,Phase 1,Backend,High
Auth API implementation 7,Auth API implementation task 7,Phase 1,Backend,High
Auth API implementation 8,Auth API implementation task 8,Phase 1,Backend,High
Auth API implementation 9,Auth API implementation task 9,Phase 1,Backend,High
Auth API implementation 10,Auth API implementation task 10,Phase 1,Backend,High
User management service 1,User management service task 1,Phase 1,Backend,High
User management service 2,User management service task 2,Phase 1,Backend,High
User management service 3,User management service task 3,Phase 1,Backend,High
User management service 4,User management service task 4,Phase 1,Backend,High
User management service 5,User management service task 5,Phase 1,Backend,High
User management service 6,User management service task 6,Phase 1,Backend,High
User management service 7,User management service task 7,Phase 1,Backend,High
User management service 8,User management service task 8,Phase 1,Backend,High
User management service 9,User management service task 9,Phase 1,Backend,High
User management service 10,User management service task 10,Phase 1,Backend,High
Job management service 1,Job management service task 1,Phase 1,Backend,High
Job management service 2,Job management service task 2,Phase 1,Backend,High
Job management service 3,Job management service task 3,Phase 1,Backend,High
Job management service 4,Job management service task 4,Phase 1,Backend,High
Job management service 5,Job management service task 5,Phase 1,Backend,High
Job management service 6,Job management service task 6,Phase 1,Backend,High
Job management service 7,Job management service task 7,Phase 1,Backend,High
Job management service 8,Job management service task 8,Phase 1,Backend,High
Job management service 9,Job management service task 9,Phase 1,Backend,High
Job management service 10,Job management service task 10,Phase 1,Backend,High
Interview engine service 1,Interview engine service task 1,Phase 1,Backend,High
Interview engine service 2,Interview engine service task 2,Phase 1,Backend,High
Interview engine service 3,Interview engine service task 3,Phase 1,Backend,High
Interview engine service 4,Interview engine service task 4,Phase 1,Backend,High
Interview engine service 5,Interview engine service task 5,Phase 1,Backend,High
Interview engine service 6,Interview engine service task 6,Phase 1,Backend,High
Interview engine service 7,Interview engine service task 7,Phase 1,Backend,High
Interview engine service 8,Interview engine service task 8,Phase 1,Backend,High
Interview engine service 9,Interview engine service task 9,Phase 1,Backend,High
Interview engine service 10,Interview engine service task 10,Phase 1,Backend,High
Authentication UI 1,Authentication UI task 1,Phase 1,Frontend,High
Authentication UI 2,Authentication UI task 2,Phase 1,Frontend,High
Authentication UI 3,Authentication UI task 3,Phase 1,Frontend,High
Authentication UI 4,Authentication UI task 4,Phase 1,Frontend,High
Authentication UI 5,Authentication UI task 5,Phase 1,Frontend,High
Authentication UI 6,Authentication UI task 6,Phase 1,Frontend,High
Authentication UI 7,Authentication UI task 7,Phase 1,Frontend,High
Authentication UI 8,Authentication UI task 8,Phase 1,Frontend,High
Candidate portal UI 1,Candidate portal UI task 1,Phase 1,Frontend,High
Candidate portal UI 2,Candidate portal UI task 2,Phase 1,Frontend,High
Candidate portal UI 3,Candidate portal UI task 3,Phase 1,Frontend,High
Candidate portal UI 4,Candidate portal UI task 4,Phase 1,Frontend,High
Candidate portal UI 5,Candidate portal UI task 5,Phase 1,Frontend,High
Candidate portal UI 6,Candidate portal UI task 6,Phase 1,Frontend,High
Candidate portal UI 7,Candidate portal UI task 7,Phase 1,Frontend,High
Candidate portal UI 8,Candidate portal UI task 8,Phase 1,Frontend,High
Candidate portal UI 9,Candidate portal UI task 9,Phase 1,Frontend,High
Candidate portal UI 10,Candidate portal UI task 10,Phase 1,Frontend,High
Recruiter dashboard UI 1,Recruiter dashboard UI task 1,Phase 1,Frontend,High
Recruiter dashboard UI 2,Recruiter dashboard UI task 2,Phase 1,Frontend,High
Recruiter dashboard UI 3,Recruiter dashboard UI task 3,Phase 1,Frontend,High
Recruiter dashboard UI 4,Recruiter dashboard UI task 4,Phase 1,Frontend,High
Recruiter dashboard UI 5,Recruiter dashboard UI task 5,Phase 1,Frontend,High
Recruiter dashboard UI 6,Recruiter dashboard UI task 6,Phase 1,Frontend,High
Recruiter dashboard UI 7,Recruiter dashboard UI task 7,Phase 1,Frontend,High
Recruiter dashboard UI 8,Recruiter dashboard UI task 8,Phase 1,Frontend,High
Recruiter dashboard UI 9,Recruiter dashboard UI task 9,Phase 1,Frontend,High
Recruiter dashboard UI 10,Recruiter dashboard UI task 10,Phase 1,Frontend,High
Core schema design 1,Core schema design task 1,Phase 1,Database,High
Core schema design 2,Core schema design task 2,Phase 1,Database,High
Core schema design 3,Core schema design task 3,Phase 1,Database,High
Core schema design 4,Core schema design task 4,Phase 1,Database,High
Core schema design 5,Core schema design task 5,Phase 1,Database,High
Core schema design 6,Core schema design task 6,Phase 1,Database,High
Core schema design 7,Core schema design task 7,Phase 1,Database,High
Core schema design 8,Core schema design task 8,Phase 1,Database,High
Core schema design 9,Core schema design task 9,Phase 1,Database,High
Core schema design 10,Core schema design task 10,Phase 1,Database,High
Interview related tables 1,Interview related tables task 1,Phase 1,Database,High
Interview related tables 2,Interview related tables task 2,Phase 1,Database,High
Interview related tables 3,Interview related tables task 3,Phase 1,Database,High
Interview related tables 4,Interview related tables task 4,Phase 1,Database,High
Interview related tables 5,Interview related tables task 5,Phase 1,Database,High
Interview related tables 6,Interview related tables task 6,Phase 1,Database,High
Interview related tables 7,Interview related tables task 7,Phase 1,Database,High
Interview related tables 8,Interview related tables task 8,Phase 1,Database,High
Interview related tables 9,Interview related tables task 9,Phase 1,Database,High
Interview related tables 10,Interview related tables task 10,Phase 1,Database,High
Infrastructure setup 1,Infrastructure setup task 1,Phase 1,DevOps,High
Infrastructure setup 2,Infrastructure setup task 2,Phase 1,DevOps,High
Infrastructure setup 3,Infrastructure setup task 3,Phase 1,DevOps,High
Infrastructure setup 4,Infrastructure setup task 4,Phase 1,DevOps,High
Infrastructure setup 5,Infrastructure setup task 5,Phase 1,DevOps,High
Infrastructure setup 6,Infrastructure setup task 6,Phase 1,DevOps,High
Infrastructure setup 7,Infrastructure setup task 7,Phase 1,DevOps,High
Infrastructure setup 8,Infrastructure setup task 8,Phase 1,DevOps,High
Infrastructure setup 9,Infrastructure setup task 9,Phase 1,DevOps,High
Infrastructure setup 10,Infrastructure setup task 10,Phase 1,DevOps,High
Coding assessment service 1,Coding assessment service task 1,Phase 2,Backend,Medium
Coding assessment service 2,Coding assessment service task 2,Phase 2,Backend,Medium
Coding assessment service 3,Coding assessment service task 3,Phase 2,Backend,Medium
Coding assessment service 4,Coding assessment service task 4,Phase 2,Backend,Medium
Coding assessment service 5,Coding assessment service task 5,Phase 2,Backend,Medium
